identity,model_slot,raw_csv_row,x_m,y_m,z_m,reported_intensity_unspecified_unit,reported_radial_velocity_mps,euclidean_xyz_range_m,azimuth_deg,projection_valid,cached_image_u_px,cached_image_v_px
train/020340,23,12,1.7462743520736694,-2.4612481594085693,-2.2268435955047607,7.0,0.4104943573474884,3.7504731719801643,-54.64400834175139,False,,
train/020340,24,14,3.1371870040893555,-2.5198493003845215,0.25198492407798767,7.0,0.6157415509223938,4.031758821809421,-38.77210435665793,True,66.35713577270508,289.2676696777344
train/020340,25,19,7.9096999168396,-2.60775089263916,0.521550178527832,7.0,0.6157415509223938,8.344802698760176,-18.2468836582589,True,223.62430572509766,281.112548828125
train/003936,0,0,0.04117747023701668,-0.0043950858525931835,0.021975429728627205,26.0,0.0,0.04688091665624608,-6.0924110785598575,False,,
train/003936,1,13,3.09808611869812,-3.8823258876800537,0.1552930325269699,22.0,-0.2052471786737442,4.969377005518108,-51.41022246859263,False,,
train/003936,2,4,7.648053169250488,-2.2414937019348145,0.0,14.0,-0.6157415509223938,7.969756037388841,-16.33482140538111,True,234.37807083129883,257.1841125488281
train/003936,3,5,2.089390516281128,0.8218809962272644,0.8218809962272644,13.0,-0.4104943573474884,2.3909264885070307,21.472652133054044,True,429.54967498779297,402.7821960449219
train/003936,4,1,0.19672894477844238,0.3281664252281189,-0.5332704186439514,10.0,0.0,0.656332857444557,59.05818958740739,False,,
train/003936,5,2,0.23742496967315674,-0.14357280731201172,0.594801664352417,10.0,0.0,0.6563328325934615,-31.161694213151545,False,,
train/003936,6,6,2.4177606105804443,0.7120039463043213,0.23733463883399963,9.0,-0.4104943573474884,2.5315694184473228,16.40912220866974,True,400.69801330566406,294.1000671386719
train/003936,7,7,2.4517409801483154,0.7515596747398376,0.7515596747398376,9.0,-0.4104943573474884,2.6722121403677375,17.042461098208918,True,406.2010955810547,370.3484191894531
train/003936,8,9,2.9151663780212402,0.5347354412078857,1.7111533880233765,9.0,-0.4104943573474884,3.4223066667049507,10.394339282605527,True,373.1882095336914,472.66864013671875
train/003936,9,10,3.624176025390625,-4.54158878326416,-0.18166354298591614,9.0,-0.4104943573474884,5.8132333672524465,-51.41022398016887,False,,
train/003936,10,8,3.088501453399658,0.6153120398521423,0.9229680299758911,8.0,-0.4104943573474884,3.2816642299900796,11.267324986349415,True,377.7968215942383,366.8752746582031
train/003936,11,11,0.23972365260124207,-0.17580343782901764,0.637287437915802,8.0,-0.2052471786737442,0.703213734858947,-36.25478466056437,False,,
train/003936,12,3,0.27912524342536926,0.22561441361904144,-0.9669189453125,7.0,0.0,1.0313801490983685,38.94829610205021,False,,
train/003936,13,12,0.3922119438648224,0.24905486404895782,0.6475426554679871,7.0,-0.2052471786737442,0.7969755484751083,32.41557644767145,False,,
train/003936,14,14,3.580198049545288,-4.989887237548828,0.0,7.0,-0.2052471786737442,6.141399898835815,-54.34090941914187,False,,
train/020008,0,0,0.04192644730210304,-0.0043950858525931835,0.02051040157675743,23.0,0.0,0.046880916542528704,-5.984372718071953,False,,
train/020008,1,1,1.0465474128723145,-0.9229680299758911,0.17580343782901764,14.0,0.2052471786737442,1.4064275027529194,-41.409621085112335,True,4.287528991699219,326.3206787109375
